,title,link,area,price,year,km,image
0,Suzuki/Jimny 2020款 1.5L,https://www.8891.com.tw/usedauto-infos-3376360.html?display__sale_code=&flow_id=02fd6171-d5d7-479d-8cb4-d532efeeb194,桃園市,99.8萬,2020年,3.0萬km,https://p2.8891.com.tw/2022/06/08/1654682501660712_220_165.jpg
1,Suzuki/Jimny 2015款 1.3L,https://www.8891.com.tw/usedauto-infos-3376151.html?display__sale_code=&flow_id=dcc80319-dea3-4dea-8c45-dda855663750,新北市,46.8萬,2015年,7.9萬km,https://p1.8891.com.tw/2023/01/20/1674152977325607_220_165.jpg
2,Suzuki/Jimny 2022款 1.5L,https://www.8891.com.tw/usedauto-infos-3375748.html?display__sale_code=&flow_id=3dd77ed9-0d3b-441f-9ab7-5d349bf2b48c,桃園市,102.8萬,2022年,1km,https://p1.8891.com.tw/2023/01/07/1673089721133291_220_165.jpg
3,Suzuki/Jimny 2022款 1.5L,https://www.8891.com.tw/usedauto-infos-3375733.html?display__sale_code=&flow_id=38490002-7db2-4d3d-9a4a-bcc0057991d6,桃園市,100.8萬,2022年,1km,https://p1.8891.com.tw/2023/01/07/1673089555440571_220_165.jpg
4,Suzuki/Jimny 2021款 1.5L,https://www.8891.com.tw/usedauto-infos-3374808.html?display__sale_code=&flow_id=5a0a3cbc-52ba-47d6-b9b5-7853823d04ce,基隆市,90萬,2021年,2.5萬km,https://p2.8891.com.tw/2023/01/30/0/1675071912449870_220_165.jpg
5,Suzuki/Jimny 2017款 1.3L,https://www.8891.com.tw/usedauto-infos-3374479.html?display__sale_code=&flow_id=7afecf96-724f-4301-9393-86ba193af6e3,台北市,51.8萬,2017年,2.4萬km,https://p1.8891.com.tw/2023/01/06/3/1672999872477103_220_165.jpg
6,Suzuki/Jimny 2023款 1.5L,https://www.8891.com.tw/usedauto-infos-3374349.html?display__sale_code=&flow_id=b0f6ebf2-343e-40a1-9f7b-aae93b14254a,高雄市,103.8萬,2022年,6km,https://p2.8891.com.tw/2022/12/05/1670227791286796_220_165.jpg
7,Suzuki/Jimny 2023款 1.5L,https://www.8891.com.tw/usedauto-infos-3374347.html?display__sale_code=&flow_id=5bc28709-fff1-43a8-aa32-3bea48a70e8a,高雄市,104.8萬,2022年,6km,https://p1.8891.com.tw/2022/12/05/1670230000608841_220_165.jpg
8,Suzuki/Jimny 2022款 1.5L,https://www.8891.com.tw/usedauto-infos-3374146.html?display__sale_code=&flow_id=3afae7ed-ddce-4596-ba7c-ee524f65c3b7,高雄市,94.8萬,2022年,13km,https://p2.8891.com.tw/2023/01/06/1672990571594212_220_165.jpg
9,Suzuki/Jimny 2022款 1.5L,https://www.8891.com.tw/usedauto-infos-3374100.html?display__sale_code=&flow_id=1d91b209-0cf5-420a-812d-09206ec995f8,台北市,102.8萬,2022年,12km,https://p1.8891.com.tw/2023/01/06/1672989053341501_220_165.jpg
