,title,link,area,price,year,km,image
0,Suzuki/Jimny 2020款 1.5L,https://www.8891.com.tw/usedauto-infos-3376360.html?display__sale_code=&flow_id=02fd6171-d5d7-479d-8cb4-d532efeeb194,桃園市,99.8萬,2020年,3.0萬km,https://p2.8891.com.tw/2022/06/08/1654682501660712_220_165.jpg
1,Suzuki/Jimny 2021款 1.5L,https://www.8891.com.tw/usedauto-infos-3355302.html?display__sale_code=&flow_id=a5c42131-0f69-42a9-9468-64c26040c5ca,台南市,98.8萬,2020年,6000km,https://p2.8891.com.tw/2022/12/19/1671431491808402_220_165.jpg
2,Suzuki/Jimny 2020款 1.5L,https://www.8891.com.tw/usedauto-infos-3358802.html?display__sale_code=&flow_id=fcac8984-0bb5-4de7-9172-8b0626186c3d,桃園市,95.0萬,2020年,1.3萬km,https://p2.8891.com.tw/2022/12/22/1671687258173290_220_165.jpg
3,Suzuki/Jimny 2020款 1.5L,https://www.8891.com.tw/usedauto-infos-3365474.html?display__sale_code=9005001&flow_id=f2a0f9e6-6de5-4b11-bd02-d6b98382e81d,南投縣,93.8萬,2020年,3.9萬km,https://p1.8891.com.tw/2022/12/28/1672243184742943_220_165.jpg
4,Suzuki/Jimny 2020款 1.5L,https://www.8891.com.tw/usedauto-infos-3322115.html?display__sale_code=&flow_id=a01ee67b-e397-4200-9cc4-007e4185fac6,台中市,92.8萬,2020年,9800km,https://p2.8891.com.tw/2022/11/18/1668758617597178_220_165.jpg
5,Suzuki/Jimny 2020款 1.5L,https://www.8891.com.tw/usedauto-infos-3394876.html?display__sale_code=&flow_id=6d785106-bfa4-4f79-acf6-5de6860d9f8a,台中市,92.8萬,2020年,3.3萬km,https://p2.8891.com.tw/2023/02/01/1675246534350024_220_165.jpg
6,Suzuki/Jimny 2020款 1.5L,https://www.8891.com.tw/usedauto-infos-3383415.html?display__sale_code=&flow_id=22860113-41af-4e87-a6d6-bd9e705e0c92,高雄市,89.8萬,2020年,2.0萬km,https://p2.8891.com.tw/2023/01/15/1673768926240762_220_165.jpg
7,Suzuki/Jimny 2020款 1.5L,https://www.8891.com.tw/usedauto-infos-3386611.html?display__sale_code=&flow_id=61f4e523-880e-4bb9-a34c-aa57fede34ed,新竹市,89.8萬,2020年,2.0萬km,https://p2.8891.com.tw/2023/01/30/1675051211262020_220_165.jpg
8,Suzuki/Jimny 2020款 1.5L,https://www.8891.com.tw/usedauto-infos-3394269.html?display__sale_code=&flow_id=e952ee55-ecbd-4fd1-b647-49c7c729baba,台北市,89.8萬,2020年,3.0萬km,https://p2.8891.com.tw/2022/12/30/1672408374213770_220_165.jpg
9,Suzuki/Jimny 2020款 1.5L,https://www.8891.com.tw/usedauto-infos-3341560.html?display__sale_code=9005003&flow_id=dfe6b2a7-7151-4ff7-8848-27c85a59e729,台中市,89.8萬,2020年,1.6萬km,https://p1.8891.com.tw/2022/12/06/1670318376594257_220_165.jpg
